Ticker,Last,Volume,Sector
TRIP,51.81,1225007,Consumer Cyclicals
TROW,99.09,1043904,Financials
TRU,65.16,995752,Industrials
TRV,131.87,1293325,Financials
TSCO,89.52,1450278,Consumer Cyclicals
TSLA,290.92,7389361,Consumer Cyclicals
TSN,64.22,2505857,Consumer Non-Cyclicals
TSS,93.93,1234565,Technology
TTC,67.58,572820,Industrials
TTD,204.38,2328335,Technology
TTWO,89.8,2267411,Consumer Cyclicals
TWLO,122.09,4002496,Technology
TXN,106.45,3319776,Technology
TXRH,59.71,962999,Consumer Cyclicals
TXT,52.08,1831573,Industrials
UAL,82.38,5140479,Industrials
UFS,50.51,545912,Basic Materials
UGI,54.87,539160,Utilities
UHS,129.7,736350,Healthcare
ULTA,309.75,905969,Consumer Cyclicals
UNH,243.15,4539618,Healthcare
UNP,165.6,4051724,Industrials
UPS,108.83,2963374,Industrials
URI,124.01,1213774,Industrials
USB,51.46,5558433,Financials
UTX,126.01,4655919,Industrials
V,150.67,9361395,Technology
VAC,95.42,631078,Consumer Cyclicals
VC,77.74,932229,Consumer Cyclicals
VEEV,118.48,1580407,Healthcare
VFC,85.12,1879672,Consumer Cyclicals
VLO,83.48,4375113,Energy
VMC,114.01,910002,Basic Materials
VMW,173.37,1369189,Technology
VRNS,61.33,673613,Technology
VRSK,127.31,552358,Technology
VRTX,180.52,1350697,Healthcare
VZ,57.58,13627431,Telecommunications Services
W,170.17,2225588,Consumer Cyclicals
WAB,71.11,1972757,Industrials
WBA,60.68,5637676,Consumer Non-Cyclicals
WBC,141.02,683596,Industrials
WCG,239.8,619138,Healthcare
WDAY,185.5,1987220,Technology
WEC,77.15,1967319,Utilities
WHR,136.6,530107,Consumer Cyclicals
WIX,108.15,574393,Technology
WLK,68.77,538465,Basic Materials
WM,99.85,1784730,Industrials
WMT,98.48,5345092,Consumer Non-Cyclicals
WP,98.46,2047569,Industrials
WSM,57.61,1211833,Consumer Cyclicals
WWD,93.83,754923,Industrials
WWE,88.04,730972,Consumer Cyclicals
WYNN,119.37,1293197,Consumer Cyclicals
XEC,68.74,1466812,Energy
XEL,56.05,2946713,Utilities
XLNX,121.94,4117918,Technology
XOM,79.78,11060876,Energy
XYL,76.89,832743,Industrials
YUM,97.79,1466547,Consumer Cyclicals
ZBH,121.41,1442735,Healthcare
ZEN,79.21,2473415,Technology
ZS,63.34,3668776,Technology
ZTS,94.73,2902107,Healthcare
